Img_3_1_1.jpg,Img_3_1_2.jpg,Img_3_1_3.jpg,Img_3_1_4.jpg,Img_3_1_5.jpg
3.5873647,3.015851,3.5121264,3.8673544,3.649358
1.0722028,0.9525883,0.9359545,0.8927111,0.7886671
0.23655976,0.16730228,0.24177067,0.07573335,0.24562402
1.0199685,1.0156584,1.0936329,0.6304093,1.1592977
0.19228803,0.060917787,0.40775582,0.27181852,0.45108327
0.39752603,0.4384619,0.2343788,0.355544,0.77088594
1.3263702,0.91650367,0.8783692,0.4916958,0.47372854
0.32691228,0.27701372,0.10194677,0.04083413,0.120382875
1.2074586,1.7678789,1.8209254,1.6291723,1.5962389
1.9877955,2.0477853,1.8347566,1.6466445,1.704478
0.26139453,0.27216125,0.14810039,0.12355247,0.13254897
1.1762995,2.419287,1.7982996,1.0678793,1.0405709
0.19882032,0.16103913,0.15997937,0.11099708,0.14418785
0.7933911,0.5880649,0.7374733,0.48553538,0.58860445
0.97393674,0.8118021,0.90616804,1.1686118,0.97761863
0.14033347,0.35448384,0.31692562,0.15159163,0.27006522
0.3558544,0.07900891,0.18648371,0.3404461,0.3461339
3.3918386,3.2115715,3.1706338,3.1807997,2.633908
0.047694303,0.033394795,0.00044553255,0.01287444,0.053837977
0.62119323,0.41125184,0.4323303,0.21938528,0.43571562
0.80255437,0.21578132,0.40803733,0.47476447,0.6160939
0.35224256,0.8293352,0.28463742,0.27593732,0.48414558
0.3273549,0.26156512,0.38627926,0.22769561,0.52606744
0.05788797,0.008876611,0.027499245,0.0,0.0007396699
0.4944851,0.42957622,0.4914743,0.4243959,0.24523175
0.69732434,0.96021444,0.58039504,0.72137773,0.6043411
0.09414324,0.019842008,0.076461464,0.14638047,0.07868131
3.2833107,2.8229074,3.2434075,2.8159626,2.7533956
0.07507032,0.073847845,0.031045217,0.095166236,0.058594402
0.6899376,0.7582133,0.8519247,0.71156967,0.6594831
0.10825052,0.040527906,0.29353803,0.29304063,0.1928388
0.5074855,0.6007878,0.8018216,0.68147653,0.6130456
0.09402998,0.117480874,0.013797303,0.029687006,0.09014378
0.5544016,0.46065038,0.3073718,0.5579299,0.48595175
0.29340658,0.5084412,0.31047234,0.03878579,0.104240045
0.0,0.0,0.047204275,0.0,0.014727188
0.0,0.004780415,0.0100378785,0.0,0.0
0.14749378,0.03140366,0.02733137,0.026201587,0.031254366
0.2636217,0.5707263,0.62302715,0.63931817,1.2261194
0.42715013,0.24516658,0.3434869,0.42587048,0.17939536
0.5291509,0.5538936,0.50108236,0.20206463,0.2769809
2.1541684,1.6994823,1.6974933,1.7100661,2.017339
0.8722252,1.1159681,1.2846439,0.8058482,1.2563882
0.6045604,0.73338985,0.74142206,0.82416767,0.8105393
0.01574717,0.06084448,0.057169974,0.036944833,0.010319932
1.3229661,2.3683898,2.3936956,0.8016906,1.1624243
0.28818306,0.2843932,0.2130519,0.12394171,0.13598645
1.2049946,1.4220799,1.3825812,1.3476756,1.0871621
1.9588327,2.2143445,2.1369617,1.280781,0.93059826
0.14145184,0.17882422,0.26828295,0.28195992,0.1725052
0.5251459,0.54304844,0.49051276,0.5176191,0.19963619
0.12116552,0.07913271,0.0,0.2694167,0.0046334974
0.33925784,0.47816426,0.51789975,0.5945667,0.4842514
0.0039971387,0.0,0.0,0.016517652,0.0
0.70375955,0.47945568,0.7332282,0.91462356,1.1269917
0.54659915,0.5910546,0.42962366,0.28425446,0.5855223
1.2441487,1.0108298,0.7914031,0.8956615,1.2380359
3.3588855,3.8995152,3.6547232,3.5328922,2.7533221
1.2673222,0.77576977,0.7831362,1.1395377,0.7282051
0.500648,0.66706824,0.58544505,0.5601827,0.37241423
3.063436,3.782571,3.0798962,2.9765728,2.6736162
0.089052685,0.021383047,0.06155211,0.0704873,0.09358359
0.80610585,0.6343397,0.52290887,0.4120134,0.37902766
1.1760299,0.7873719,1.0500714,0.6796511,0.40509135
0.478168,0.6644393,0.63441277,0.43440694,0.34207025
0.1833439,0.061044365,0.07088776,0.07978842,0.038341474
0.35440814,0.3457059,0.54963976,0.12690447,0.043432567
0.9062492,0.36646497,0.66904306,0.840932,0.101409875
0.36528802,0.3192604,0.7494777,0.72971857,1.0289028
0.13022663,0.09398395,0.06788755,0.066057995,0.12435013
1.0440949,0.86949563,0.83919173,0.7987717,0.40356308
0.29317966,0.31306073,0.3989833,0.31837097,0.21269989
0.5114268,0.44853705,0.20780829,0.4191854,0.12725945
4.9410214,3.9214923,4.622562,4.124514,4.1240883
0.17105433,0.14324868,0.09244273,0.13453868,0.0830495
0.8129811,0.2873061,0.47246745,0.5767402,1.0237982
0.027770082,0.0108724125,0.0006881873,0.012674169,0.0839958
0.179769,0.19210957,0.03598584,0.08599441,0.55428475
0.74641526,1.1278462,0.80177844,1.1854291,1.0731536
0.04686372,0.119102105,0.13358928,0.034798574,0.05274796
1.3655213,1.3504126,1.7496164,1.5418056,1.5715989
0.29139885,0.27435696,0.30758876,0.12944166,0.14188455
0.73559034,0.80912244,0.87955636,0.42892498,0.5486451
2.4317932,2.346113,2.1764297,1.9212973,1.7833725
0.23030026,0.117569104,0.093325324,0.11607893,0.0070596244
0.75458604,0.3134886,0.45578814,0.04663319,0.18337758
1.8541594,1.3455015,2.0309882,1.7771811,1.3857735
1.5785888,1.3023093,1.3601335,1.6942369,1.2548556
0.24863578,0.34070933,0.23669222,0.18527786,0.39345676
0.10317865,0.05924303,0.0627205,0.083768085,0.0
0.9287633,0.8170961,0.5940972,0.5416803,0.47944033
0.0,0.0,0.0,0.0,0.0
0.22221147,0.2910755,0.19089259,0.23503119,0.20792438
