Img_2_1_1.jpg,Img_2_1_2.jpg,Img_2_1_3.jpg,Img_2_1_4.jpg,Img_2_1_5.jpg
1.9851846,1.8421563,1.9372263,1.4435166,1.6873966
1.0612004,1.1927328,1.2129998,1.6883752,0.92179793
0.033657186,0.04922373,0.08857365,0.34846497,0.14763902
1.6546987,1.4521745,1.2752618,1.4357507,1.2323935
0.3901562,0.067368105,0.19440973,0.33602348,0.20529233
0.6069313,0.39711174,0.4980928,0.8892069,0.6778861
0.15591967,0.068097055,0.17349827,0.29161724,0.34703565
0.2650738,0.14037544,0.5177797,0.24549651,0.22830111
1.4823197,1.3004283,1.4059858,1.5644276,1.3729695
0.23237255,0.21854913,0.23657551,0.32301188,0.14087674
0.355817,0.12287096,0.111180745,0.32310247,0.34226447
1.7853128,1.2360313,1.4911189,2.3426669,1.0340364
0.420561,0.2459906,0.2680667,0.24709655,0.81632
2.2208061,1.71279,1.9035969,1.8602548,1.5021274
1.6244543,1.4656667,0.8613429,0.99583054,1.6382278
0.9234152,1.3055481,1.0552039,0.66328603,0.6896641
0.42304772,0.4058243,0.509521,0.29708147,0.5644304
4.542278,4.4859805,4.0123386,4.5362067,3.960594
0.034791086,0.10136763,0.0028570008,0.03973276,0.06652525
0.7609404,0.7369786,0.8987758,1.3024094,0.4712671
0.2502186,0.09413472,0.23413053,0.024808278,0.37286314
1.7633533,1.4593233,1.8962754,0.7513489,1.6176019
0.7782161,0.80202436,0.5952697,0.55013484,0.8827608
0.02063935,0.0047734855,0.007255973,0.0,0.0
0.52698386,0.4313265,0.4228844,0.24487945,0.47410372
0.23598956,0.30121267,0.40078557,0.73339605,0.29939616
0.19229184,0.06309801,0.16526218,0.044202954,0.09499766
1.5598481,1.3106095,1.8523966,1.576772,1.7289855
0.08281403,0.15885481,0.35433835,0.3134675,0.20068486
2.656539,2.5962706,2.4959836,2.9490407,2.0630577
0.529875,0.8267739,0.72411305,0.89391357,0.9296865
0.35535765,0.36509135,0.26182547,0.37824544,0.90944517
0.21112062,0.047862653,0.035964943,0.7217544,0.13671102
0.2198291,0.39439592,0.42215815,0.37217635,0.626198
0.020092433,0.0123686595,0.04367479,0.13968074,0.018712673
0.0027172598,0.0,0.06407616,0.0018056121,0.35927075
0.0,0.014403656,0.0,0.04082859,0.0
0.591291,0.44809723,0.41731533,0.17732193,0.24802984
0.9284323,0.90683943,0.6606997,0.4680328,0.49813703
0.56827736,0.2510176,0.5039088,0.38536265,0.2509294
0.5530928,0.7239225,0.74205637,1.0716326,0.78098726
0.6848965,0.601731,0.5491525,0.5860614,0.7488624
2.115428,2.406011,2.0832195,0.92804646,2.3210645
2.1658306,1.7762376,1.8184072,1.822292,1.6782603
0.0036538471,0.0,0.02808043,0.0,0.0138362935
2.0464494,1.5943577,1.4676408,2.522875,1.7908306
0.006011007,0.025490245,0.033090338,0.22135438,0.007009798
1.7514259,1.7142607,1.5044607,2.1699939,1.5512086
2.2240837,2.0705264,1.6125815,3.579197,2.535898
1.1665502,0.588221,0.84091496,1.8770863,0.8578957
1.7423325,1.238279,1.5572143,1.4892644,1.6003982
0.024571532,0.08360489,0.03909395,0.24074225,0.04443339
2.1553285,1.9052769,1.8216131,1.6757985,1.5491303
0.0,0.005075301,0.0,0.057201594,0.002005288
1.1929394,1.2002751,1.0605606,0.842712,0.59165376
1.5354496,1.2878356,1.1902857,0.79333806,1.1411655
0.6360554,0.51850796,0.87016934,1.1674235,0.93941236
4.2794704,3.6436505,3.1739724,3.3093286,3.430672
1.6872584,1.8122926,1.4395807,2.374376,1.9140899
0.96515584,0.90892637,0.8639771,0.7547569,0.68492424
2.7517226,3.269568,2.9151814,3.9789155,2.9881501
0.087049134,0.24321431,0.20865318,0.3361913,0.11087682
0.08697623,0.058300477,0.09506789,0.41944724,0.00046959156
0.118218824,0.19652511,0.13952981,0.49944025,0.17656505
0.69779617,0.62212735,0.73901194,0.90976053,0.6499158
0.15631492,0.211607,0.22204177,0.2689043,0.24065748
0.50726104,0.49313378,0.4464886,0.68312144,0.3294631
0.92176616,0.5610646,0.46350068,1.5956608,0.82380736
0.3919807,0.5733266,0.60188615,0.4575246,0.38965577
1.1899635,0.79377043,0.8177262,0.4339851,0.9717606
1.6884363,2.318689,1.846218,1.9530354,1.2879866
0.46856198,0.58517486,0.5917622,0.3148904,0.36154145
1.5079756,1.179604,1.1109306,1.4994518,1.2331816
3.4218793,4.2297053,3.6082602,2.5650246,3.986737
1.4699941,0.66705024,0.93209755,1.2969004,1.3304015
0.14513962,0.31471008,0.39557874,0.2660075,0.38851628
